player_id,outfielder_block,interception,total_tackle,last_man_tackle,total_clearance,head_clearance,aerial_won,own_goals,error_lead_to_goal,penalty_conceded,fouls,aerial_lost
145101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132926.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53174.0,2.0,29.0,53.0,0.0,53.0,27.0,28.0,0.0,1.0,0.0,38.0,44.0
139685.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160918.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51275.0,6.0,16.0,41.0,0.0,45.0,24.0,28.0,0.0,0.0,0.0,30.0,14.0
93088.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10314.0,2.0,6.0,10.0,0.0,8.0,4.0,64.0,0.0,0.0,0.0,35.0,88.0
181611.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15123.0,10.0,65.0,72.0,0.0,133.0,84.0,97.0,0.0,1.0,1.0,23.0,56.0
154433.0,1.0,0.0,4.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,4.0,13.0
154298.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30517.0,21.0,64.0,58.0,1.0,170.0,79.0,111.0,1.0,3.0,1.0,30.0,42.0
163781.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13589.0,4.0,18.0,17.0,0.0,21.0,8.0,9.0,0.0,0.0,0.0,12.0,14.0
152907.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180209.0,8.0,9.0,4.0,0.0,28.0,14.0,20.0,0.0,0.0,0.0,4.0,13.0
135355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179296.0,1.0,12.0,12.0,0.0,5.0,3.0,5.0,0.0,0.0,0.0,12.0,7.0
32114.0,3.0,4.0,9.0,0.0,24.0,18.0,115.0,0.0,0.0,0.0,21.0,93.0
180063.0,0.0,7.0,9.0,0.0,6.0,5.0,17.0,0.0,0.0,0.0,10.0,9.0
180005.0,0.0,1.0,7.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,4.0,5.0
135648.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135245.0,1.0,13.0,31.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,15.0,10.0
162618.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44030.0,1.0,18.0,28.0,0.0,10.0,5.0,13.0,0.0,0.0,1.0,19.0,18.0
40581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162023.0,0.0,1.0,8.0,0.0,6.0,4.0,5.0,0.0,0.0,0.0,6.0,3.0
160732.0,15.0,59.0,66.0,0.0,90.0,51.0,96.0,0.0,1.0,0.0,36.0,69.0
170279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162118.0,1.0,15.0,38.0,0.0,14.0,6.0,10.0,0.0,0.0,0.0,21.0,12.0
43137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43065.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163795.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162034.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129762.0,9.0,29.0,40.0,0.0,83.0,51.0,63.0,0.0,0.0,0.0,21.0,23.0
180097.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
180206.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
32256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133548.0,0.0,4.0,16.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,25.0,11.0
139035.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180212.0,0.0,13.0,12.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,11.0
170109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180094.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42971.0,1.0,3.0,8.0,0.0,7.0,4.0,8.0,0.0,0.0,0.0,7.0,7.0
184277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32539.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
162011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181972.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
130553.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
